timestamp,city,temperature,description
2026-03-16T12:30:32.613Z,Budapest,15.44,clear sky
2026-03-16T12:35:38.378Z,Budapest,15.67,clear sky
2026-03-16T12:37:06.412Z,Budapest,15.67,clear sky
2026-03-16T12:48:47.555Z,Oslo,3.83,overcast clouds2026-03-16T15:08:04.654Z,Oslo,3.33,overcast clouds
2026-03-16T15:11:10.669Z,Oslo,3.33,overcast clouds
2026-03-16T15:17:59.659Z,Oslo,3.33,overcast clouds
2026-03-16T15:34:39.488Z,London,11.92,scattered clouds
2026-03-16T15:40:00.879Z,Budapest,12.33,clear sky
2026-03-16T16:02:35.258Z,Budapest,11.5,clear sky
2026-03-17T12:24:54.321Z,London,12.91,broken clouds
